Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Gls_Per_Match,Ast_Per_Match
1206,Armando Izzo,it ITA,DF,Monza,it Serie A,31.0,1992.0,23,20,1650,18.3,0,0,0,0,0,0,9,0,0.7,0.7,0.5,1.1,15.0,59.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06,0.0,0.0
1207,Nicolas Jackson,sn SEN,FW,Chelsea,eng Premier League,22.0,2001.0,35,31,2799,31.1,14,5,19,14,0,0,10,0,18.6,18.6,4.3,22.9,70.0,67.0,200.0,0.45,0.16,0.61,0.45,0.61,0.6,0.14,0.74,0.6,0.74,0.4,0.14285714285714285
1210,Lee Jae-sung,kr KOR,"MF,FW",Mainz 05,de Bundesliga,30.0,1992.0,29,24,2113,23.5,6,3,9,6,0,0,6,0,4.9,4.9,3.4,8.3,25.0,82.0,121.0,0.26,0.13,0.38,0.26,0.38,0.21,0.14,0.35,0.21,0.35,0.20689655172413793,0.10344827586206896
1213,Kristijan Jakić,hr CRO,MF,Augsburg,de Bundesliga,26.0,1997.0,14,13,1051,11.7,2,1,3,2,0,0,4,0,0.8,0.8,0.3,1.0,11.0,56.0,10.0,0.17,0.09,0.26,0.17,0.26,0.07,0.02,0.09,0.07,0.09,0.14285714285714285,0.07142857142857142
1215,Ismail Jakobs,sn SEN,DF,Monaco,fr Ligue 1,23.0,1999.0,22,16,1466,16.3,1,2,3,1,0,0,0,0,1.3,1.3,1.8,3.1,44.0,56.0,133.0,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19,0.045454545454545456,0.09090909090909091
1216,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24.0,1998.0,17,10,918,10.2,3,2,5,2,1,1,1,0,2.0,1.2,1.0,2.2,29.0,42.0,53.0,0.29,0.2,0.49,0.2,0.39,0.19,0.1,0.29,0.12,0.22,0.17647058823529413,0.11764705882352941
1218,Vitaly Janelt,de GER,"MF,DF",Brentford,eng Premier League,25.0,1998.0,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25.0,123.0,81.0,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,0.02631578947368421,0.07894736842105263
1219,Jakub Jankto,cz CZE,"MF,FW",Cagliari,it Serie A,27.0,1996.0,18,13,872,9.7,1,2,3,1,0,0,0,0,1.5,1.5,0.5,1.9,12.0,26.0,48.0,0.1,0.21,0.31,0.1,0.31,0.16,0.05,0.21,0.15,0.2,0.05555555555555555,0.1111111111111111
1224,Luis Javier Suárez,co COL,FW,Almería,es La Liga,25.0,1997.0,15,10,917,10.2,6,0,6,5,1,1,3,0,6.5,5.7,0.6,6.3,30.0,15.0,53.0,0.59,0.0,0.59,0.49,0.49,0.64,0.06,0.7,0.56,0.62,0.4,0.0
1225,Danley Jean-Jacques,ht HAI,MF,Metz,fr Ligue 1,23.0,2000.0,33,30,2682,29.8,0,0,0,0,0,0,5,0,2.9,2.9,0.6,3.5,35.0,84.0,53.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12,0.0,0.0
1229,Fredrik Jensen,fi FIN,"MF,FW",Augsburg,de Bundesliga,25.0,1997.0,22,18,1338,14.9,2,4,6,2,0,0,1,0,0.9,0.9,4.3,5.2,22.0,46.0,90.0,0.13,0.27,0.4,0.13,0.4,0.06,0.29,0.35,0.06,0.35,0.09090909090909091,0.18181818181818182
1230,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,27.0,1996.0,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4.0,4.7,19.0,123.0,66.0,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,0.09375,0.09375
1231,Moritz Jenz,de GER,DF,Wolfsburg,de Bundesliga,24.0,1999.0,22,21,1742,19.4,0,1,1,0,0,0,7,1,0.3,0.3,0.3,0.6,2.0,47.0,4.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03,0.0,0.045454545454545456
1232,Gabriel Jesus,br BRA,FW,Arsenal,eng Premier League,26.0,1997.0,27,17,1478,16.4,4,5,9,4,0,0,6,0,6.3,6.3,3.8,10.1,38.0,42.0,155.0,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,0.14814814814814814,0.18518518518518517
1233,Juan Jesus,br BRA,DF,Napoli,it Serie A,32.0,1991.0,24,23,2116,23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,6.0,82.0,2.0,0.04,0.0,0.04,0.04,0.04,0.06,0.01,0.07,0.06,0.07,0.041666666666666664,0.0
1235,Raúl Jiménez,mx MEX,FW,Fulham,eng Premier League,32.0,1991.0,24,18,1395,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11.0,24.0,87.0,0.45,0.0,0.45,0.45,0.45,0.33,0.1,0.43,0.33,0.43,0.2916666666666667,0.0
1236,João Pedro,br BRA,"FW,MF",Brighton,eng Premier League,21.0,2001.0,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83.0,92.0,205.0,0.4,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,0.2903225806451613,0.0967741935483871
1237,Joelinton,br BRA,"MF,FW",Newcastle Utd,eng Premier League,26.0,1996.0,20,15,1279,14.2,2,1,3,2,0,0,6,0,3.1,3.1,2.8,5.9,29.0,56.0,60.0,0.14,0.07,0.21,0.14,0.21,0.22,0.2,0.41,0.22,0.41,0.1,0.05
1238,Ryan John Giles,eng ENG,"DF,MF",Luton Town,eng Premier League,23.0,2000.0,11,5,503,5.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,0.0,0.0
1239,Ben Johnson,eng ENG,"DF,FW",West Ham,eng Premier League,23.0,2000.0,14,4,544,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,17.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0
1240,Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,22.0,2001.0,32,23,2085,23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,97.0,72.0,293.0,0.22,0.43,0.65,0.22,0.65,0.44,0.35,0.79,0.44,0.79,0.15625,0.3125
1243,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30.0,1993.0,20,20,1796,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,22.0,2001.0,23,14,1167,13.0,1,1,2,1,0,0,3,1,2.6,2.6,0.7,3.3,31.0,74.0,88.0,0.08,0.08,0.15,0.08,0.15,0.2,0.05,0.25,0.2,0.25,0.043478260869565216,0.043478260869565216
1245,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,26.0,1997.0,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69.0,168.0,38.0,0.11,0.0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,0.1,0.0
1247,Jordi,es ESP,"MF,DF",Getafe,es La Liga,22.0,2001.0,13,5,573,6.4,0,0,0,0,0,0,1,0,1.3,1.3,0.6,1.8,6.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28,0.0,0.0
1249,Kaio Jorge,br BRA,FW,Frosinone,it Serie A,21.0,2002.0,20,8,812,9.0,3,0,3,2,1,2,2,0,5.4,3.8,0.3,4.2,6.0,11.0,46.0,0.33,0.0,0.33,0.22,0.22,0.6,0.03,0.64,0.43,0.46,0.15,0.0
1250,Jorginho,it ITA,MF,Arsenal,eng Premier League,31.0,1991.0,24,10,921,10.2,0,2,2,0,0,0,1,0,0.1,0.1,1.4,1.5,8.0,101.0,8.0,0.0,0.2,0.2,0.0,0.2,0.01,0.13,0.14,0.01,0.14,0.0,0.08333333333333333
1251,Willian José,br BRA,FW,Betis,es La Liga,31.0,1991.0,33,25,1971,21.9,10,5,15,10,0,0,0,1,5.7,5.7,2.5,8.2,8.0,32.0,90.0,0.46,0.23,0.68,0.46,0.68,0.26,0.12,0.37,0.26,0.37,0.30303030303030304,0.15151515151515152
1252,Joselu,es ESP,FW,Real Madrid,es La Liga,33.0,1990.0,34,15,1687,18.7,10,2,12,10,0,2,1,0,11.6,10.0,1.7,11.7,15.0,20.0,98.0,0.53,0.11,0.64,0.53,0.64,0.62,0.09,0.71,0.53,0.62,0.29411764705882354,0.058823529411764705
1253,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,26.0,1996.0,21,14,1145,12.7,10,3,13,10,0,0,3,1,5.3,5.3,3.3,8.6,54.0,34.0,111.0,0.79,0.24,1.02,0.79,1.02,0.42,0.26,0.68,0.42,0.68,0.47619047619047616,0.14285714285714285
1254,Antoine Joujou,fr FRA,"FW,MF",Le Havre,fr Ligue 1,20.0,2003.0,23,6,779,8.7,0,2,2,0,0,0,1,0,1.1,1.1,0.6,1.8,35.0,22.0,82.0,0.0,0.23,0.23,0.0,0.23,0.13,0.07,0.2,0.13,0.2,0.0,0.08695652173913043
1255,Luka Jović,rs SRB,FW,Milan,it Serie A,25.0,1997.0,23,8,877,9.7,6,1,7,6,0,0,2,1,4.9,4.9,0.8,5.7,6.0,22.0,47.0,0.62,0.1,0.72,0.62,0.72,0.5,0.09,0.59,0.5,0.59,0.2608695652173913,0.043478260869565216
1256,Kamil Jóźwiak,pl POL,MF,Granada,es La Liga,25.0,1998.0,11,7,571,6.3,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,15.0,21.0,31.0,0.0,0.16,0.16,0.0,0.16,0.02,0.19,0.21,0.02,0.21,0.0,0.09090909090909091
1257,Juanmi,es ESP,FW,Cádiz,es La Liga,30.0,1993.0,16,9,873,9.7,3,1,4,3,0,0,3,0,2.5,2.5,1.6,4.2,7.0,12.0,40.0,0.31,0.1,0.41,0.31,0.41,0.26,0.17,0.43,0.26,0.43,0.1875,0.0625
1258,Juanpe,es ESP,DF,Girona,es La Liga,32.0,1991.0,17,6,746,8.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0
1260,Christopher Jullien,fr FRA,DF,Montpellier,fr Ligue 1,30.0,1993.0,20,13,1233,13.7,1,0,1,1,0,0,5,0,1.1,1.1,0.1,1.2,1.0,26.0,4.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.09,0.08,0.09,0.05,0.0
1261,Anthony Jung,de GER,DF,Werder Bremen,de Bundesliga,31.0,1991.0,31,30,2579,28.7,1,0,1,1,0,0,4,1,0.6,0.6,0.3,1.0,24.0,107.0,21.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,0.03225806451612903,0.0
1262,Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,fr Ligue 1,17.0,2006.0,30,11,1084,12.0,5,3,8,5,0,0,1,0,3.5,3.5,1.8,5.3,10.0,12.0,63.0,0.42,0.25,0.66,0.42,0.66,0.29,0.15,0.44,0.29,0.44,0.16666666666666666,0.1
1265,Vinicius Júnior,br BRA,FW,Real Madrid,es La Liga,23.0,2000.0,26,22,1864,20.7,15,5,20,14,1,1,7,0,13.1,12.3,4.2,16.6,137.0,57.0,277.0,0.72,0.24,0.97,0.68,0.92,0.63,0.21,0.84,0.59,0.8,0.5769230769230769,0.19230769230769232
1266,Josip Juranović,hr CRO,DF,Union Berlin,de Bundesliga,27.0,1995.0,21,14,1294,14.4,0,2,2,0,0,1,4,0,1.4,0.6,2.3,2.9,22.0,52.0,46.0,0.0,0.14,0.14,0.0,0.14,0.1,0.16,0.26,0.04,0.2,0.0,0.09523809523809523
1267,David Jurásek,cz CZE,DF,Hoffenheim,de Bundesliga,22.0,2000.0,13,4,496,5.5,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.1,12.0,12.0,38.0,0.0,0.18,0.18,0.0,0.18,0.03,0.18,0.21,0.03,0.21,0.0,0.07692307692307693
1269,Julian Justvan,de GER,"MF,FW",Darmstadt 98,de Bundesliga,25.0,1998.0,14,11,1023,11.4,2,2,4,2,0,0,1,0,0.9,0.9,2.5,3.4,20.0,56.0,50.0,0.18,0.18,0.35,0.18,0.35,0.08,0.22,0.3,0.08,0.3,0.14285714285714285,0.14285714285714285
1270,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,21.0,2002.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,33.0,1990.0,14,12,1087,12.1,1,0,1,1,0,0,4,0,0.7,0.7,0.9,1.7,5.0,50.0,4.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,0.07142857142857142,0.0
1272,Mohamed Kaba,fr FRA,MF,Lecce,it Serie A,21.0,2001.0,23,15,1378,15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2.0,14.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.13,0.08,0.13,0.0,0.0
1273,Sory Kaba,gn GUI,FW,Las Palmas,es La Liga,28.0,1995.0,17,9,720,8.0,1,1,2,1,0,0,2,0,1.5,1.5,0.3,1.8,7.0,12.0,36.0,0.12,0.12,0.25,0.12,0.25,0.18,0.04,0.23,0.18,0.23,0.058823529411764705,0.058823529411764705
1274,Ozan Kabak,tr TUR,DF,Hoffenheim,de Bundesliga,23.0,2000.0,28,28,2282,25.4,4,0,4,4,0,0,11,1,2.2,2.2,1.1,3.3,21.0,110.0,11.0,0.16,0.0,0.16,0.16,0.16,0.09,0.04,0.13,0.09,0.13,0.14285714285714285,0.0
1275,Christian Kabasele,be BEL,DF,Udinese,it Serie A,32.0,1991.0,13,10,861,9.6,1,1,2,1,0,0,5,0,1.2,1.2,0.5,1.6,7.0,22.0,1.0,0.1,0.1,0.21,0.1,0.21,0.12,0.05,0.17,0.12,0.17,0.07692307692307693,0.07692307692307693
1276,Issa Kaboré,bf BFA,DF,Luton Town,eng Premier League,22.0,2001.0,24,21,1729,19.2,0,2,2,0,0,0,7,0,0.2,0.2,2.1,2.3,60.0,54.0,85.0,0.0,0.1,0.1,0.0,0.1,0.01,0.11,0.12,0.01,0.12,0.0,0.08333333333333333
1277,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29.0,1994.0,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41.0,31.0,73.0,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46,0.08695652173913043,0.043478260869565216
1279,Pavel Kadeřábek,cz CZE,"DF,FW",Hoffenheim,de Bundesliga,31.0,1992.0,29,28,2412,26.8,3,4,7,3,0,0,7,0,2.5,2.5,4.7,7.2,38.0,88.0,153.0,0.11,0.15,0.26,0.11,0.26,0.09,0.18,0.27,0.09,0.27,0.10344827586206896,0.13793103448275862
1281,Tino Kadewere,zw ZIM,"FW,MF",Nantes,fr Ligue 1,27.0,1996.0,14,8,781,8.7,1,0,1,1,0,1,1,0,1.9,1.2,1.8,2.9,15.0,26.0,53.0,0.12,0.0,0.12,0.12,0.12,0.22,0.21,0.43,0.13,0.34,0.07142857142857142,0.0
1282,Kaiky,br BRA,DF,Almería,es La Liga,19.0,2004.0,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,4.0,24.0,1.0,0.17,0.0,0.17,0.17,0.17,0.04,0.0,0.04,0.04,0.04,0.125,0.0
1283,Florian Kainz,at AUT,"MF,FW",Köln,de Bundesliga,30.0,1992.0,33,29,2197,24.4,5,4,9,0,5,5,4,0,5.0,1.0,3.3,4.3,40.0,124.0,100.0,0.2,0.16,0.37,0.0,0.16,0.2,0.13,0.34,0.04,0.18,0.15151515151515152,0.12121212121212122
1286,Arnaud Kalimuendo,fr FRA,FW,Rennes,fr Ligue 1,21.0,2002.0,30,25,2139,23.8,10,1,11,8,2,2,6,0,9.0,7.4,2.7,10.1,27.0,37.0,181.0,0.42,0.04,0.46,0.34,0.38,0.38,0.11,0.49,0.31,0.43,0.3333333333333333,0.03333333333333333
1288,Gedeon Kalulu,cd COD,DF,Lorient,fr Ligue 1,25.0,1997.0,19,11,970,10.8,0,1,1,0,0,0,0,0,0.3,0.3,1.1,1.4,17.0,35.0,60.0,0.0,0.09,0.09,0.0,0.09,0.03,0.1,0.13,0.03,0.13,0.0,0.05263157894736842
1290,Daichi Kamada,jp JPN,MF,Lazio,it Serie A,26.0,1996.0,29,17,1544,17.2,2,2,4,2,0,0,3,0,1.8,1.8,2.8,4.6,40.0,96.0,78.0,0.12,0.12,0.23,0.12,0.23,0.11,0.16,0.27,0.11,0.27,0.06896551724137931,0.06896551724137931
1291,Waren Kamanzi,no NOR,"DF,FW",Toulouse,fr Ligue 1,22.0,2000.0,24,12,1187,13.2,0,3,3,0,0,0,1,0,0.8,0.8,2.5,3.4,35.0,56.0,55.0,0.0,0.23,0.23,0.0,0.23,0.06,0.19,0.26,0.06,0.26,0.0,0.125
1292,Boubacar Kamara,fr FRA,MF,Aston Villa,eng Premier League,23.0,1999.0,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19.0,83.0,10.0,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.08,0.01,0.08,0.0,0.05
1293,Hassane Kamara,ci CIV,DF,Udinese,it Serie A,29.0,1994.0,35,27,2225,24.7,1,1,2,1,0,0,4,0,1.9,1.9,2.8,4.8,61.0,81.0,93.0,0.04,0.04,0.08,0.04,0.08,0.08,0.11,0.19,0.08,0.19,0.02857142857142857,0.02857142857142857
1295,Jakub Kamiński,pl POL,"FW,MF",Wolfsburg,de Bundesliga,21.0,2002.0,17,4,473,5.3,0,2,2,0,0,0,0,0,0.5,0.5,0.7,1.1,13.0,18.0,53.0,0.0,0.38,0.38,0.0,0.38,0.09,0.13,0.22,0.09,0.22,0.0,0.11764705882352941
1296,Thomas Kaminski,be BEL,GK,Luton Town,eng Premier League,30.0,1992.0,38,38,3405,37.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,32.0,1990.0,26,14,1363,15.1,1,0,1,1,0,0,3,0,0.2,0.2,1.8,2.0,28.0,88.0,27.0,0.07,0.0,0.07,0.07,0.07,0.01,0.12,0.13,0.01,0.13,0.038461538461538464,0.0
1298,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,30.0,1993.0,32,32,2839,31.5,36,8,44,31,5,5,2,0,30.6,26.7,6.4,33.0,36.0,102.0,164.0,1.14,0.25,1.39,0.98,1.24,0.97,0.2,1.17,0.85,1.05,1.125,0.25
1299,Lee Kang-in,kr KOR,"FW,MF",Paris S-G,fr Ligue 1,22.0,2001.0,23,18,1464,16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,50.0,103.0,150.0,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23,0.13043478260869565,0.17391304347826086
1302,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,26.0,1996.0,33,31,2623,29.1,0,4,4,0,0,0,9,0,1.0,1.0,2.6,3.6,24.0,142.0,31.0,0.0,0.14,0.14,0.0,0.14,0.04,0.09,0.13,0.03,0.12,0.0,0.12121212121212122
1303,Ayman Kari,fr FRA,MF,Lorient,fr Ligue 1,18.0,2004.0,14,12,893,9.9,1,1,2,1,0,0,1,0,0.6,0.6,0.8,1.5,22.0,37.0,53.0,0.1,0.1,0.2,0.1,0.2,0.06,0.08,0.15,0.06,0.15,0.07142857142857142,0.07142857142857142
1304,Emir Karic,at AUT,DF,Darmstadt 98,de Bundesliga,26.0,1997.0,27,18,1783,19.8,0,0,0,0,0,0,4,0,0.4,0.4,1.3,1.7,56.0,115.0,85.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,0.0,0.0
1308,Rick Karsdorp,nl NED,DF,Roma,it Serie A,28.0,1995.0,18,14,1191,13.2,0,2,2,0,0,0,2,0,0.4,0.4,2.2,2.7,12.0,33.0,71.0,0.0,0.15,0.15,0.0,0.15,0.03,0.17,0.2,0.03,0.2,0.0,0.1111111111111111
1309,Grigoris Kastanos,cy CYP,"MF,DF",Salernitana,it Serie A,25.0,1998.0,26,18,1480,16.4,3,3,6,3,0,0,5,0,2.9,2.9,2.8,5.7,28.0,78.0,69.0,0.18,0.18,0.36,0.18,0.36,0.17,0.17,0.35,0.17,0.35,0.11538461538461539,0.11538461538461539
1310,Silas Katompa,cd COD,"FW,MF",Stuttgart,de Bundesliga,24.0,1998.0,27,8,900,10.0,5,2,7,5,0,1,0,0,5.7,4.9,2.3,7.2,49.0,25.0,130.0,0.5,0.2,0.7,0.5,0.7,0.57,0.23,0.8,0.49,0.72,0.18518518518518517,0.07407407407407407
1311,Panos Katseris,gr GRE,DF,Lorient,fr Ligue 1,22.0,2001.0,15,13,1041,11.6,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9,24.0,21.0,86.0,0.09,0.09,0.17,0.09,0.17,0.18,0.07,0.25,0.18,0.25,0.06666666666666667,0.06666666666666667
1312,Mikkel Kaufmann,dk DEN,FW,Union Berlin,de Bundesliga,22.0,2001.0,18,4,486,5.4,1,0,1,1,0,0,0,0,1.3,1.3,1.0,2.3,6.0,11.0,34.0,0.19,0.0,0.19,0.19,0.19,0.24,0.18,0.42,0.24,0.42,0.05555555555555555,0.0
1313,Michael Kayode,it ITA,DF,Fiorentina,it Serie A,19.0,2004.0,26,22,2058,22.9,1,1,2,1,0,0,2,0,0.5,0.5,1.1,1.6,45.0,80.0,102.0,0.04,0.04,0.09,0.04,0.09,0.02,0.05,0.07,0.02,0.07,0.038461538461538464,0.038461538461538464
1314,Moise Kean,it ITA,FW,Juventus,it Serie A,23.0,2000.0,19,8,654,7.3,0,0,0,0,0,0,2,0,2.1,2.1,0.7,2.8,12.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,0.38,0.28,0.38,0.0,0.0
1317,Kévin Keben Biakolo,cm CMR,DF,Toulouse,fr Ligue 1,19.0,2004.0,8,7,521,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0
1318,Yassine Kechta,ma MAR,MF,Le Havre,fr Ligue 1,21.0,2002.0,32,21,1849,20.5,2,1,3,2,0,0,4,0,1.6,1.6,2.2,3.8,41.0,122.0,67.0,0.1,0.05,0.15,0.1,0.15,0.08,0.11,0.19,0.08,0.19,0.0625,0.03125
1320,Thilo Kehrer,de GER,DF,Monaco,fr Ligue 1,26.0,1996.0,15,15,1323,14.7,1,1,2,1,0,0,4,1,0.7,0.7,1.1,1.8,13.0,90.0,16.0,0.07,0.07,0.14,0.07,0.14,0.05,0.07,0.12,0.05,0.12,0.06666666666666667,0.06666666666666667
1321,Habib Keita,ml MLI,MF,Clermont Foot,fr Ligue 1,21.0,2002.0,27,12,1278,14.2,1,0,1,1,0,0,4,0,0.7,0.7,0.6,1.3,9.0,53.0,23.0,0.07,0.0,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09,0.037037037037037035,0.0
1323,Yannik Keitel,de GER,"DF,MF",Freiburg,de Bundesliga,23.0,2000.0,15,11,920,10.2,1,0,1,1,0,0,0,0,0.7,0.7,0.4,1.1,4.0,48.0,7.0,0.1,0.0,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11,0.06666666666666667,0.0
1324,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,24.0,1998.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1326,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,24.0,1998.0,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15.0,56.0,28.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,0.0,0.043478260869565216
1329,Tobias Kempe,de GER,MF,Darmstadt 98,de Bundesliga,34.0,1989.0,24,15,1350,15.0,3,2,5,0,3,3,1,0,3.6,1.2,2.1,3.3,15.0,44.0,46.0,0.2,0.13,0.33,0.0,0.13,0.24,0.14,0.38,0.08,0.22,0.125,0.08333333333333333
1330,Milos Kerkez,hu HUN,DF,Bournemouth,eng Premier League,19.0,2003.0,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2.0,46.0,44.0,93.0,0.0,0.05,0.05,0.0,0.05,0.06,0.04,0.09,0.06,0.09,0.0,0.03571428571428571
1332,Reda Khadra,de GER,"FW,MF",Reims,fr Ligue 1,22.0,2001.0,29,14,1368,15.2,1,3,4,1,0,0,1,0,1.8,1.8,3.5,5.4,35.0,40.0,110.0,0.07,0.2,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35,0.034482758620689655,0.10344827586206896
1333,Wahbi Khazri,tn TUN,FW,Montpellier,fr Ligue 1,32.0,1991.0,25,13,1131,12.6,1,0,1,1,0,0,6,0,3.3,3.3,1.2,4.5,27.0,33.0,76.0,0.08,0.0,0.08,0.08,0.08,0.26,0.1,0.36,0.26,0.36,0.04,0.0
1334,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,29.0,1994.0,20,18,1343,14.9,0,0,0,0,0,0,5,1,0.4,0.4,0.1,0.5,6.0,35.0,15.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,0.0,0.0
1335,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,19.0,2004.0,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,0.0,0.0
1336,Kiké,es ESP,"FW,MF",Alavés,es La Liga,33.0,1989.0,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2.0,8.9,18.0,32.0,97.0,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56,0.09090909090909091,0.06060606060606061
1337,Luca Kilian,de GER,DF,Köln,de Bundesliga,23.0,1999.0,13,6,635,7.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0
